campaign_id,phase_id,phase_run_id,calibration_bundle_id,calibration_quantity_id,source_campaign_id,source_phase_id,source_artifact_id,value_used,unit,standard_uncertainty,validity_status,notes
system_recalibration_001,PT-01,system_recalibration_001_PT-01_001,MS02-COMPLETED-WORKING-EVIDENCE,MS02-PICO-CHB-MINUS-CHA,system_recalibration_001,MS-02,ms02_results.json,0.10994707329952519,ns,0.5817073941913165,VALID_COMPLETED_UNPROMOTED,Imported measurement-path correction; no reacquisition
system_recalibration_001,PT-01,system_recalibration_001_PT-01_001,T1-01-COMPLETED-WORKING-EVIDENCE,T1-01-ADAPTER-B-MINUS-A,system_recalibration_001,T1-01,setup_2_adapter_swap_result.json,-0.097377952268309,ns,0.2678548156024922,VALID_COMPLETED_UNPROMOTED,Imported adapter differential; no reacquisition
