"path","bytes","status","error"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\authorized_air_scan_after_detector_recovery_20260903T213002_3743882Z\mircat_sweep_20260903T213236_758472Z\hf2li_native.npz","19253152","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\authorized_air_scan_after_detector_recovery_20260903T213002_3743882Z\mircat_sweep_20260903T213236_758472Z\picoscope_ch_a_adc.npy","437510964","DELETED",""
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\authorized_air_scan_after_detector_recovery_20260903T213002_3743882Z\mircat_sweep_20260903T213236_758472Z\picoscope_ch_b_adc.npy","437510964","DELETED",""
