attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
29,29,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_029.csv,0.08655017500245776,2.0,5000,2026-07-29T22:10:27.714386+00:00
30,30,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_030.csv,0.1387733051315081,2.0,5000,2026-07-29T22:10:27.888814+00:00
31,31,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_031.csv,0.19369509027092136,2.0,5000,2026-07-29T22:10:28.067827+00:00
32,32,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_032.csv,0.05166896309742697,2.0,5000,2026-07-29T22:10:28.245809+00:00
33,33,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_033.csv,0.0897922295941953,2.0,5000,2026-07-29T22:10:28.409063+00:00
34,34,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_034.csv,0.05097881570077334,2.0,5000,2026-07-29T22:10:28.588159+00:00
35,35,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_035.csv,0.10400407579254534,2.0,5000,2026-07-29T22:10:28.765145+00:00
36,36,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_036.csv,0.12688682858083666,2.0,5000,2026-07-29T22:10:28.931803+00:00
37,37,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_037.csv,0.06599970166462299,2.0,5000,2026-07-29T22:10:29.101048+00:00
38,38,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_038.csv,0.05027570734273468,2.0,5000,2026-07-29T22:10:29.274310+00:00
39,39,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_039.csv,0.08657628887749524,2.0,5000,2026-07-29T22:10:29.442360+00:00
40,40,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_040.csv,0.2385329194287351,2.0,5000,2026-07-29T22:10:29.610604+00:00
41,41,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_041.csv,0.08339579873654657,2.0,5000,2026-07-29T22:10:29.780022+00:00
42,42,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_042.csv,0.070960965575523,2.0,5000,2026-07-29T22:10:29.952980+00:00
43,43,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_043.csv,0.09677494952006782,2.0,5000,2026-07-29T22:10:30.118822+00:00
44,44,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_044.csv,0.12786396734759364,2.0,5000,2026-07-29T22:10:30.296311+00:00
45,45,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_045.csv,0.047550456388307794,2.0,5000,2026-07-29T22:10:30.464035+00:00
46,46,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_046.csv,0.012495332077833154,2.0,5000,2026-07-29T22:10:30.634822+00:00
47,47,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_047.csv,0.1862290274195857,2.0,5000,2026-07-29T22:10:30.800426+00:00
48,48,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_048.csv,0.13456377475995396,2.0,5000,2026-07-29T22:10:30.963932+00:00
49,49,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_049.csv,0.2294266504791267,2.0,5000,2026-07-29T22:10:31.137205+00:00
50,50,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_050.csv,0.2768517815818541,2.0,5000,2026-07-29T22:10:31.308561+00:00
51,51,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_051.csv,0.04827697183395685,2.0,5000,2026-07-29T22:10:31.488911+00:00
52,52,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_052.csv,0.10400407579254534,2.0,5000,2026-07-29T22:10:31.676967+00:00
53,53,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_053.csv,0.04827697183395685,2.0,5000,2026-07-29T22:10:31.852599+00:00
54,54,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_054.csv,0.1387733051315081,2.0,5000,2026-07-29T22:10:32.026583+00:00
55,55,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_055.csv,0.05288397722415539,2.0,5000,2026-07-29T22:10:32.200691+00:00
56,56,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_056.csv,0.17725181209470975,2.0,5000,2026-07-29T22:10:32.375991+00:00
57,57,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_057.csv,0.19948932792408414,2.0,5000,2026-07-29T22:10:32.548380+00:00
58,58,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_058.csv,0.1862290274195857,2.0,5000,2026-07-29T22:10:32.723157+00:00
59,59,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_059.csv,0.13322616452524016,2.0,5000,2026-07-29T22:10:32.896320+00:00
60,60,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_060.csv,0.10400407579254534,2.0,5000,2026-07-29T22:10:33.067101+00:00
61,61,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_061.csv,0.0897922295941953,2.0,5000,2026-07-29T22:10:33.267222+00:00
62,62,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_062.csv,0.1482651890651141,2.0,5000,2026-07-29T22:10:33.440597+00:00
63,63,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_063.csv,0.20977915809362457,2.0,5000,2026-07-29T22:10:33.621610+00:00
64,64,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_064.csv,0.012786595035549908,2.0,5000,2026-07-29T22:10:33.792937+00:00
65,65,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_065.csv,0.0654838978252883,2.0,5000,2026-07-29T22:10:33.961740+00:00
66,66,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_066.csv,0.08353554840232391,2.0,5000,2026-07-29T22:10:34.130812+00:00
67,67,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_067.csv,0.13291781977954997,2.0,5000,2026-07-29T22:10:34.312191+00:00
68,68,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_068.csv,0.1507131667781323,2.0,5000,2026-07-29T22:10:34.479440+00:00
69,69,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_069.csv,0.023990704685274977,2.0,5000,2026-07-29T22:10:34.657621+00:00
70,70,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\MS-01\swapped\raw\attempt_070.csv,0.08652578905252994,2.0,5000,2026-07-29T22:10:34.827191+00:00
