path,sample_count,mean,rms,minimum,maximum,first_timestamp,last_timestamp
/dev18500/demods/0/sample.x,9085,-3.058342972499904e-09,2.0600799792436044e-06,-6.7462202262877085e-06,6.5140185790959896e-06,251016299683840,251017360113664
/dev18500/demods/0/sample.y,9085,-6.497517640271499e-08,2.084009517399734e-06,-1.1443498467853693e-05,8.463464810999022e-06,251016299683840,251017360113664
/dev18500/demods/3/sample.x,9067,-1.0120457611284683e-07,2.0762358028986954e-06,-8.54982801479957e-06,7.06699661247101e-06,251016299683840,251017358012416
/dev18500/demods/3/sample.y,9067,-3.4953104101365434e-08,2.0189803471859674e-06,-7.65092817431614e-06,7.831387455212967e-06,251016299683840,251017358012416
