attempt,accepted_index,status,reason,raw_path,measured_separation_ns,sample_interval_ns,threshold_adc,captured_utc
27,27,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_027.csv,12.681841185685016,2.0,5000,2026-08-13T22:10:29.813890+00:00
28,28,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_028.csv,13.322076879821907,2.0,5000,2026-08-13T22:10:29.983181+00:00
29,29,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_029.csv,12.852345107215115,2.0,5000,2026-08-13T22:10:30.153156+00:00
30,30,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_030.csv,13.080635614460562,2.0,5000,2026-08-13T22:10:30.322256+00:00
31,31,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_031.csv,13.075945934020638,2.0,5000,2026-08-13T22:10:30.486671+00:00
32,32,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_032.csv,13.354678403253956,2.0,5000,2026-08-13T22:10:30.659949+00:00
33,33,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_033.csv,12.712347679890854,2.0,5000,2026-08-13T22:10:30.826905+00:00
34,34,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_034.csv,12.78840018460778,2.0,5000,2026-08-13T22:10:31.008887+00:00
35,35,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_035.csv,12.890852441216339,2.0,5000,2026-08-13T22:10:31.177105+00:00
36,36,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_036.csv,13.06123616183936,2.0,5000,2026-08-13T22:10:31.360344+00:00
37,37,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_037.csv,12.974082374555792,2.0,5000,2026-08-13T22:10:31.529550+00:00
38,38,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_038.csv,13.275596419253134,2.0,5000,2026-08-13T22:10:31.700040+00:00
39,39,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_039.csv,12.99976477737755,2.0,5000,2026-08-13T22:10:31.870859+00:00
40,40,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_040.csv,12.837275208872597,2.0,5000,2026-08-13T22:10:32.045819+00:00
41,41,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_041.csv,13.27788818138606,2.0,5000,2026-08-13T22:10:32.212746+00:00
42,42,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_042.csv,12.797548936618341,2.0,5000,2026-08-13T22:10:32.394191+00:00
43,43,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_043.csv,12.679702556350321,2.0,5000,2026-08-13T22:10:32.563206+00:00
44,44,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_044.csv,13.269798218417009,2.0,5000,2026-08-13T22:10:32.745456+00:00
45,45,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_045.csv,12.820820232785763,2.0,5000,2026-08-13T22:10:32.919149+00:00
46,46,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_046.csv,13.180574602747129,2.0,5000,2026-08-13T22:10:33.099730+00:00
47,47,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_047.csv,13.090595556494463,2.0,5000,2026-08-13T22:10:33.280363+00:00
48,48,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_048.csv,13.31831892035757,2.0,5000,2026-08-13T22:10:33.470110+00:00
49,49,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_049.csv,13.129769187514057,2.0,5000,2026-08-13T22:10:33.735887+00:00
50,50,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_050.csv,12.993227867037149,2.0,5000,2026-08-13T22:10:33.944100+00:00
51,51,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_051.csv,13.31831892035757,2.0,5000,2026-08-13T22:10:34.162314+00:00
52,52,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_052.csv,12.797548936618341,2.0,5000,2026-08-13T22:10:34.370394+00:00
53,53,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_053.csv,13.275596419253134,2.0,5000,2026-08-13T22:10:34.577207+00:00
54,54,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_054.csv,13.09729100413574,2.0,5000,2026-08-13T22:10:34.835302+00:00
55,55,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_055.csv,12.61183563698114,2.0,5000,2026-08-13T22:10:35.070636+00:00
56,56,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_056.csv,13.094772121980895,2.0,5000,2026-08-13T22:10:35.336398+00:00
57,57,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_057.csv,13.398268185933603,2.0,5000,2026-08-13T22:10:35.560522+00:00
58,58,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T1-01\adapter_series_swapped\raw\attempt_058.csv,12.99976477737755,2.0,5000,2026-08-13T22:10:35.878964+00:00
