artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
HF01-ART-0169,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_hf2_raw.csv,raw_primary,text/csv,95375,2026-08-26T21:26:16.491460Z,2026-08-26T21:26:16.495559Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0170,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_hf2_summary.csv,raw_primary,text/csv,362,2026-08-26T21:26:16.497551Z,2026-08-26T21:26:16.497551Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0171,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_offset_1_pico.csv,raw_primary,text/csv,76261,2026-08-26T21:24:54.891756Z,2026-08-26T21:24:54.895493Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0172,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_offset_2_pico.csv,raw_primary,text/csv,74778,2026-08-26T21:25:57.868827Z,2026-08-26T21:25:57.874348Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0173,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_offset_3_pico.csv,raw_primary,text/csv,74893,2026-08-26T21:26:04.453868Z,2026-08-26T21:26:04.458211Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0174,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_pre_safe_idle.json,raw_primary,application/json,10859,2026-08-26T21:24:32.291787Z,2026-08-26T21:24:32.292693Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0175,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_status.json,raw_primary,application/json,22624,2026-08-26T21:24:26.329734Z,2026-08-26T21:26:24.095605Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0176,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_fall_1_pico.csv,raw_primary,text/csv,74537,2026-08-26T21:24:44.238145Z,2026-08-26T21:24:44.241144Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0177,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_fall_2_pico.csv,raw_primary,text/csv,73562,2026-08-26T21:24:48.515833Z,2026-08-26T21:24:48.518966Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0178,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_fall_3_pico.csv,raw_primary,text/csv,74086,2026-08-26T21:24:52.805121Z,2026-08-26T21:24:52.808122Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0179,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_rise_1_pico.csv,raw_primary,text/csv,76896,2026-08-26T21:24:42.060447Z,2026-08-26T21:24:42.064543Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0180,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_rise_2_pico.csv,raw_primary,text/csv,76773,2026-08-26T21:24:46.322688Z,2026-08-26T21:24:46.324694Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0181,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_step_rise_3_pico.csv,raw_primary,text/csv,76522,2026-08-26T21:24:50.604269Z,2026-08-26T21:24:50.608735Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0182,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r1_001_zero_baseline_pico.csv,raw_primary,text/csv,75607,2026-08-26T21:24:36.962220Z,2026-08-26T21:24:36.965224Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0183,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_final_safe_idle.json,raw_primary,application/json,10860,2026-08-26T21:30:53.128268Z,2026-08-26T21:30:53.129307Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0184,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r2_001_hf2_raw.csv,raw_primary,text/csv,100158,2026-08-26T21:30:45.467775Z,2026-08-26T21:30:45.472289Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
